name,model,price,sku
Samsung Galaxy S23 256GB,SM-S911B,2850.0,SAM-S23-001
IPhone 15 Pro,A2846,4899.0,APP-IP15P-001
Dell XPS 13,XPS-13-9320,5750.0,DELL-XPS13-001
Sony WH1000XM5,WH-1000XM5,799.0,SONY-WH1000-001
Xiaomi Redmi Note 12 LTE,23028RA0CH,789.0,XIAO-RN12-001
iPad Air 256GB,MU003,3950.0,APP-IPAD-AIR-001
Samsung 55 QLED TV,QN55QN90D,4899.0,SAM-TV55-QLED-001
LG OLED TV 65,OLED65C3,6899.0,LG-OLED65-001
MacBook Air 13 M2,MLY13,7950.0,APP-MBA-M2-001
Surface Laptop,7IP-00009,5850.0,MSFT-SL5-001
Google Pixel 7,GVU6C,2799.0,GOOG-PIXEL7-001
kamera Canon EOS R5,4147C002,10799.0,CANON-EOSR5-001
D850 Digital Camera,VBA520,5949.0,NIKON-D850-001
i9-13900K Processor,BX8071513900K,2249.0,INTEL-I9-001
Ryzen 9 7950X 16-Core,100-100000514WOF,2749.0,AMD-RYZEN9-001
990 Pro 2TB,MZ-V9P2T0BW,299.0,SAMSUNG-990PRO-001
WD Blue 1TB HDD,WD10EZEX,69.0,WD-BLUE1TB-001
Vengeance 32GB DDR4,CMK32GX4M2B3200C16,499.0,CORSAIR-RAM32-001
ROG Strix Z790-E,ROG STRIX Z790-E,599.0,ASUS-ROG-001
ASUS ROG Motherboard,ROG STRIX Z790-E,629.0,ASUS-ROG-E-001
RTX 4090,GV-N4090AORUS M-24GD,1899.0,GIGABYTE-4090-001
